id,migration_status,migration_reasoning
11565,non_migrated,Writer and publisher based in Poltava with no indication of emigration.
11566,non_migrated,Singer based in Ukrainian theatres with no indication of emigration.
11569,non_migrated,Choral conductor based in Kyiv and Kharkiv throughout career.
11570,non_migrated,Scenic designer based in Kyiv with no indication of emigration.
11572,non_migrated,Art scholar based in Lviv throughout career.
11573,non_migrated,Art scholar based in Lviv throughout career.
11574,non_migrated,Film director based in Kyiv with no indication of emigration.
11575,non_migrated,Painter based in Kyiv with no indication of emigration.
11579,non_migrated,Poet based in Chernivtsi region with no indication of emigration.
11586,non_migrated,Art scholar and designer based in Ivano-Frankivsk with no indication of emigration.
11587,non_migrated,Sculptor and teacher based in Kyiv with no indication of emigration.
11588,non_migrated,Literary scholar based in Ivano-Frankivsk with no indication of emigration.
11589,non_migrated,Painter based in Zakarpattia with no indication of emigration.
11590,non_migrated,Architect born in Kazakhstan who studied in Novosibirsk and worked in Ukraine throughout career.
11591,non_migrated,Painter born in Russia who worked in Zaporizhzhia with no indication of emigration from Ukraine.
11594,non_migrated,Prose writer based in Cherkasy region with no indication of emigration.
11597,non_migrated,Painter based in Kyiv with no indication of emigration.
11598,non_migrated,Painter based in Ukraine (Zhytomyr region) with no indication of emigration.
11603,unknown,Writer born 1886; bio ends with question mark for death date and place; insufficient info on adult migration.
11604,migrated,Painter who is member of Ukrainian artists union in Rome (Oberih); settled in Italy.
11605,non_migrated,Decorative arts artist based in Kyiv with no indication of emigration.
11607,migrated,Writer based in USA; bio mentions international literary activities and life in the US.
11609,non_migrated,Conductor based in Lviv throughout career.
11610,non_migrated,Art scholar who studied in Leningrad but worked in Ukraine throughout career.
11611,unknown,Bio is truncated; early 1990s study residency abroad mentioned but no clear confirmation of permanent emigration.
11615,non_migrated,Actor based in Ivano-Frankivsk region theatres with no indication of emigration.
11616,non_migrated,Singer based in Ukrainian opera houses with no indication of emigration.
11617,non_migrated,Poet based in Lutsk with no indication of emigration.
11619,migrated,Painter and graphic artist whose family emigrated in 1945 due to Soviet persecution; settled in Philadelphia USA from 1951.
11622,non_migrated,Decorative arts artist based in Lviv with no indication of emigration.
11625,non_migrated,Monumental artist based in Kyiv with no indication of emigration.
11627,non_migrated,Theatre artist based in Ukraine with no indication of emigration.
11629,non_migrated,Poet and literary scholar based in Lviv with no indication of emigration.
11633,migrated,Writer and translator who settled in the USA; active in US literary competitions.
11634,non_migrated,Literary scholar based in Kyiv region with no indication of emigration.
11635,non_migrated,Painter based in Luhansk/Kyiv with no indication of emigration.
11639,unknown,Ceramicist who is member of SH Kazakhstan (1995) and SHU (1991); unclear whether he settled in Kazakhstan or maintained Ukraine base.
11643,non_migrated,Graphic artist based in Kyiv with no indication of emigration.
11644,non_migrated,Graphic artist based in Kharkiv with no indication of emigration.
11647,non_migrated,Director based in Ukraine (Kyiv area) with no indication of emigration.
11649,non_migrated,Poet based in Ternopil region with no indication of emigration.
11650,migrated,Poet who is a member of the Union of Russian-language writers of Israel (2003); settled in Israel.
11652,non_migrated,Graphic artist based in Kyiv with no indication of emigration.
11661,non_migrated,Writer based in Obuhiv Kyiv region with no indication of emigration.
11662,non_migrated,Writer based in Uzhhorod who studied in Warsaw but returned and is active in Ukraine.
11663,non_migrated,Graphic artist based in Chernivtsi with no indication of emigration.
11664,non_migrated,Choral conductor based in Kirovohrad region with no indication of emigration.
11669,non_migrated,Actor based in Kharkiv drama theatre with no indication of emigration.
11674,non_migrated,Poet based in Ivano-Frankivsk region with no indication of emigration.
11678,non_migrated,Writer born in Russia who moved to Rivne in 1989 and lived there.
11681,non_migrated,Conductor and teacher who studied at Moscow conservatory but based career in Ukraine.
11685,non_migrated,Painter and restorer based in Kyiv with no indication of emigration.
11686,non_migrated,Theatre scholar based in Kyiv with no indication of emigration.
11688,non_migrated,Architect based in Kharkiv with no indication of emigration.
11689,non_migrated,Ceramicist and painter based in Kyiv with no indication of emigration.
11694,non_migrated,Writer based in Volyn region with no indication of emigration.
11697,non_migrated,Writer and translator based in Kyiv with no indication of emigration.
11698,non_migrated,Pianist based in Kyiv with no indication of emigration.
11700,migrated,Painter who moved to Germany in 1943 then to Australia from 1949; member of Victorian artists and Plast.
11701,non_migrated,Actor based in Ternopil theatre with no indication of emigration.
11706,non_migrated,Film director based in Kharkiv/Kyiv with no indication of emigration.
11709,non_migrated,Painter based in Kharkiv with no indication of emigration.
11710,non_migrated,Poet based in Vinnytsia region with no indication of emigration.
11711,non_migrated,Painter based in Kyiv throughout career.
11712,non_migrated,Poet based in Ternopil region with no indication of emigration.
11714,non_migrated,Painter based in Kyiv with no indication of emigration.
11716,non_migrated,Painter based in Kyiv with no indication of emigration.
11722,non_migrated,Painter based in Lviv region with no indication of emigration.
11728,non_migrated,Singer-songwriter and actor based in Chernivtsi theatres with no indication of emigration.
11730,non_migrated,Painter based in Cherkasy region with no indication of emigration.
11733,migrated,Ukrainian caricaturist who emigrated West during WWII; spent time in DP camps in Germany then settled abroad.
11734,non_migrated,Painter based in Kirovohrad region with no indication of emigration.
11741,non_migrated,Ceramic artist based in Lviv with no indication of emigration.
11742,non_migrated,Painter born in Russia who settled and worked in Lviv.
11746,non_migrated,Pianist born in Dagestan who settled and worked in Ukraine throughout career.
11747,non_migrated,Theatre artist based in Kirovohrad region with no indication of emigration.
11749,migrated,Ukrainian-heritage graphic artist born and based in Philadelphia USA; born in diaspora.
11750,non_migrated,Conductor based in Ternopil region with no indication of emigration.
11751,migrated,Ceramic artist born in Lviv who emigrated with family to Australia in 1978.
11755,non_migrated,Painter based in Zakarpattia with no indication of emigration.
11760,non_migrated,Graphic artist and designer based in Kyiv with no indication of emigration.
11763,non_migrated,Painter based in Cherkasy region with no indication of emigration.
11764,non_migrated,Prose writer based in Rivne region with no indication of emigration.
11770,non_migrated,Conductor based in Lviv with no indication of emigration.
11772,non_migrated,Writer based in Lviv with no indication of emigration.
11773,non_migrated,Choral conductor based in Donetsk region with no indication of emigration.
11776,non_migrated,Art designer born in Russia who trained in Leningrad and worked in Ukraine.
11779,non_migrated,Sculptor based in Khmelnytskyi with no indication of emigration.
11781,non_migrated,Actor based in Ukrainian theatres with no indication of emigration.
11782,non_migrated,Painter based in Kirovohrad region with no indication of emigration.
11783,non_migrated,Painter based in Luhansk/Khmelnytskyi region with no indication of emigration.
11785,migrated,Painter who fled Ukraine during independence wars and died in France; career in Paris emigration.
11786,non_migrated,Painter based in Poltava/Kyiv with no indication of emigration.
11788,non_migrated,Graphic artist and designer based in Khmelnytskyi with no indication of emigration.
11790,non_migrated,Painter based in Kyiv with no indication of emigration.
11794,non_migrated,Violinist based in Lviv with international competition prizes but career in Ukraine.
11797,non_migrated,Graphic artist based in Mykolaiv with no indication of emigration.
11798,non_migrated,Painter based in Lviv with no indication of emigration.
11799,non_migrated,Glass artist based in Lviv with no indication of emigration.
11802,non_migrated,Pop singer based in Luhansk region with no indication of emigration.
11809,non_migrated,Writer and theologian based in Kyiv with no indication of emigration.
11810,non_migrated,Writer born in Russia who worked in Ukraine throughout career.
11813,migrated,Pianist born in Odesa who studied in Moscow and settled in Vienna; career in Vienna from 1981.
11815,non_migrated,Painter based in Chernivtsi and Ivano-Frankivsk with no indication of emigration.
11817,non_migrated,Painter based in Ivano-Frankivsk with no indication of emigration.
11824,non_migrated,Art scholar and graphic artist based in Kyiv with no indication of emigration.
11825,non_migrated,Painter based in Vinnytsia with no indication of emigration.
11829,non_migrated,Pianist based in Lviv with no indication of emigration.
11833,migrated,Ukrainian poet and translator based in Slovakia; member of Ukrainian writers union in Slovakia.
11836,non_migrated,Actor based in Ukrainian theatres with no indication of emigration.
11837,migrated,Painter who is foreign member of NAMU and member of NTSh in Europe; settled in Western Europe.
11838,non_migrated,Conductor and musicologist based in Lviv with no indication of emigration.
11839,non_migrated,Painter based in Kharkiv with no indication of emigration.
11842,non_migrated,Painter based in Kyiv region with no indication of emigration.
11843,non_migrated,Cellist born in Lithuania who trained and worked in Kyiv throughout career.
11845,non_migrated,Poet based in Kyiv region with no indication of emigration.
11847,non_migrated,Architect and restorer based in Kyiv with no indication of emigration.
11852,non_migrated,Painter based in Ternopil with no indication of emigration.
11853,non_migrated,Violinist born in Russia who worked in Ukraine throughout career.
11854,non_migrated,Pianist born in Vienna who trained and worked in Ukraine throughout career.
11859,non_migrated,Painter based in Donetsk/Kirovohrad region with no indication of emigration.
11860,non_migrated,Painter based in Odesa region with no indication of emigration.
11862,non_migrated,Painter based in Dnipro region with no indication of emigration.
11863,non_migrated,Singer based in Kharkiv with no indication of emigration.
11864,migrated,Conductor born and based in USA; Ukrainian-American figure.
11867,non_migrated,Graphic artist born in Leningrad who worked in Ukraine; member of NAMU in Kyiv.
11868,non_migrated,Singer based in Lviv with no indication of emigration.
11869,non_migrated,Singer and actress based in Ukrainian opera with no indication of emigration.
11870,internal_transfer,Actor born in Kyiv who trained in Moscow and settled in Russia earning Nard. arst. RF (1998).
11871,non_migrated,Musicologist based in Kyiv with no indication of emigration.
11872,non_migrated,Poet based in Kharkiv/Luhansk region with no indication of emigration.
11873,non_migrated,Actor based in Ukrainian theatres with no indication of emigration.
11881,non_migrated,Painter and sculptor based in Kyiv with no indication of emigration.
11883,non_migrated,Singer based in Kyiv conservatory and theatres with no indication of emigration.
11884,internal_transfer,Painter who settled in Lithuania from 1979 and became a member of Lithuanian folk art societies.
11886,non_migrated,Poet based in Kharkiv with no indication of emigration.
11887,non_migrated,Painter based in Kyiv with no indication of emigration.
11888,non_migrated,Painter based in Lviv with no indication of emigration.
11890,non_migrated,Painter based in Kyiv with no indication of emigration.
11891,non_migrated,Conductor based in Kyiv conservatory with no indication of emigration.
11897,non_migrated,Sculptor and art scholar based in Mykolaiv with no indication of emigration.
11898,non_migrated,Singer based in Ukrainian opera institutions with no indication of emigration.
11901,non_migrated,Graphic artist based in Lviv with no indication of emigration.
11902,migrated,Choral conductor born in Germany (diaspora) who studied and settled in Canada; career based in Toronto.
11909,non_migrated,Decorative arts artist based in Lviv with no indication of emigration.
11914,non_migrated,Singer based in Ukrainian military and opera ensembles with no indication of emigration.
11918,non_migrated,Painter based in Kyiv with no indication of emigration.
11920,unknown,Bio is truncated and does not clearly confirm permanent emigration; only mentions literary prizes and translation activities.
11921,non_migrated,Architect born in Russia who worked in Lviv and Kyiv throughout career.
11922,non_migrated,Actor and teacher based in Rivne theatres with no indication of emigration.
11923,non_migrated,Painter based in Kyiv with no indication of emigration.
11925,non_migrated,Architect and writer based in Mykolaiv throughout career.
11927,non_migrated,Sculptor based in Mykolaiv with no indication of emigration.
11928,non_migrated,Painter based in Ivano-Frankivsk with no indication of emigration.
11929,non_migrated,Sculptor born in Russia who settled and worked in Mykolaiv with no indication of emigration from Ukraine.
11931,non_migrated,Graphic artist based in Lviv with no indication of emigration.
11932,non_migrated,Painter based in Zhytomyr with no indication of emigration.
11933,migrated,Painter and ceramicist who is a member of SH Polshchi (Polish Artists Union) and honorary member of NSHU; settled in Poland.
